Rank,First Name,Last Name,Team,Overall,Medal
1,Benjamin,Qi,USA,547.09,G
2,Ildar,Gainullin,RUS,511.22,G
3,Zixiang,Zhou,CAN,494.33,G
4,Ziqian,Zhong,CHN,491.46,G
5,Junzhao,Yang,CHN,482.39,G
6,Po-Hsuan,Su,TWN,477.14,G
7,Eric,Zhang,USA,466.87,G
8,Mahdi,Jafari Raviz,IRN,464.11,G
9,Angus,Ritossa,AUS,459.26,G
10,Arthur,Léonard,FRA,452.65,G
11,Shih-Yu,Wang,TWN,445.43,G
12,Eu-Shaun,Leong,SGP,444.35,G
13,Daniel,Zhang,USA,441.75,G
14,Nazarii,Denha,UKR,439.2,G
15,Nikoloz,Birkadze,GEO,435.75,G
16,Abdul Malik,Nurrokhman,IDN,435.43,G
17,Vladimir,Romanov,RUS,435.35,G
18,Sebin,Kim,KOR,435.3,G
19,Phuc,Trinh Huu Gia,VNM,433.48,G
20,Jiaxuan,Gao,CHN,433.11,G
21,Radoslav,Dimitrov,BGR,428.75,G
22,Gyojun,Youn,KOR,425.97,G
23,Batyr,Sardarbekov,KAZ,422.81,G
24,Duc,Bui Hong,VNM,421.66,G
25,Masataka,Yoneda,JPN,420.89,G
26,Egor,Lifar,RUS,419.3,G
27,Balázs,Tóth,HUN,418.26,G
28,Aleksandr,Morozov,RUS,414.75,G
29,Koichi,Namekata,JPN,411.46,S
30,Arshia,Soltani Moakhar,IRN,410.52,S
31,Etienne,Rossignol,FRA,409.24,S
32,Noam,Gutterman,ISR,400.91,S
33,Jiří,Kalvoda,CZE,400.7,S
34,Patrick,Pavić,HRV,399.97,S
35,Carlos Miguel,Soto,ARG,399.75,S
36,Seyyed Mehrshad,Mirmohammadi,IRN,397.5,S
37,Yujin,Im,KOR,396.41,S
38,Harris,Leung,HKG,393.84,S
39,Gediminas,Lelešius,LTU,392.81,S
40,Sofiia,Melnyk,UKR,389.6,S
41,Almog,Wald,ISR,386.07,S
42,Michal,Staník,SVK,383.63,S
43,Yasutaka,Hiraki,JPN,381.89,S
